partner_iso,sector,period,val_usd,mass_kg,china_share_2024,china_share_2022,trade_value_m_usd,net_mass_mt,post
IND,8511,202309,5784353.0,381663.43,0.13276727487573686,0.1450212517116009,5.784353,381.66343,0
IND,8511,202310,5235988.0,337466.708,0.13276727487573686,0.1450212517116009,5.235988,337.466708,0
IND,8511,202311,4993282.0,334359.107,0.13276727487573686,0.1450212517116009,4.993282,334.359107,0
IND,8511,202312,4467739.0,298679.178,0.13276727487573686,0.1450212517116009,4.467739,298.67917800000004,0
IND,8511,202401,5153924.0,339832.101,0.13276727487573686,0.1450212517116009,5.153924,339.832101,0
IND,8511,202402,6602580.0,502994.878,0.13276727487573686,0.1450212517116009,6.60258,502.994878,0
IND,8511,202403,4279050.0,267592.064,0.13276727487573686,0.1450212517116009,4.27905,267.592064,0
IND,8511,202404,6420477.0,385558.708,0.13276727487573686,0.1450212517116009,6.420477,385.55870799999997,0
IND,8511,202405,5147827.0,332200.426,0.13276727487573686,0.1450212517116009,5.147827,332.200426,0
IND,8511,202406,7964206.0,501436.614,0.13276727487573686,0.1450212517116009,7.964206,501.436614,0
IND,8511,202407,5273180.0,336598.764,0.13276727487573686,0.1450212517116009,5.27318,336.598764,0
IND,8511,202408,6422470.0,423009.232,0.13276727487573686,0.1450212517116009,6.42247,423.009232,0
IND,8511,202409,5176612.0,328140.438,0.13276727487573686,0.1450212517116009,5.176612,328.140438,0
IND,8511,202410,7953741.0,496218.227,0.13276727487573686,0.1450212517116009,7.953741,496.218227,0
IND,8511,202411,4433617.0,263055.447,0.13276727487573686,0.1450212517116009,4.433617,263.05544699999996,0
IND,8511,202412,9059084.0,588397.812,0.13276727487573686,0.1450212517116009,9.059084,588.397812,0
IND,8511,202501,8307330.0,512753.902,0.13276727487573686,0.1450212517116009,8.30733,512.753902,0
IND,8511,202502,6651944.0,410622.763,0.13276727487573686,0.1450212517116009,6.651944,410.62276299999996,0
IND,8511,202503,6964200.0,427367.949,0.13276727487573686,0.1450212517116009,6.9642,427.367949,0
IND,8511,202504,6987686.0,449499.491,0.13276727487573686,0.1450212517116009,6.987686,449.499491,1
IND,8511,202505,5900186.0,322321.601,0.13276727487573686,0.1450212517116009,5.900186,322.32160100000004,1
IND,8511,202506,8720346.0,550995.937,0.13276727487573686,0.1450212517116009,8.720346,550.995937,1
IND,8511,202507,8518605.0,546242.635,0.13276727487573686,0.1450212517116009,8.518605,546.2426350000001,1
IND,8511,202508,10709384.0,731743.742,0.13276727487573686,0.1450212517116009,10.709384,731.743742,1
IND,8511,202509,6581111.0,411362.82,0.13276727487573686,0.1450212517116009,6.581111,411.36282,1
IND,8511,202510,5807172.0,359517.909,0.13276727487573686,0.1450212517116009,5.807172,359.517909,1
IND,8511,202511,6353966.0,401848.46,0.13276727487573686,0.1450212517116009,6.353966,401.84846000000005,1
IND,8511,202512,4834826.0,334047.561,0.13276727487573686,0.1450212517116009,4.834826,334.047561,1
IND,8512,202301,2535794.0,97793.49,0.08078469814820934,0.09061878380325307,2.535794,97.79349,0
IND,8512,202302,2098571.0,70105.382,0.08078469814820934,0.09061878380325307,2.098571,70.10538199999999,0
IND,8512,202303,1568970.0,48857.026,0.08078469814820934,0.09061878380325307,1.56897,48.857026,0
IND,8512,202304,2330786.0,77032.055,0.08078469814820934,0.09061878380325307,2.330786,77.032055,0
IND,8512,202305,2008271.0,67534.496,0.08078469814820934,0.09061878380325307,2.008271,67.534496,0
IND,8512,202306,1708675.0,54842.492,0.08078469814820934,0.09061878380325307,1.708675,54.842492,0
IND,8512,202307,1268834.0,47627.616,0.08078469814820934,0.09061878380325307,1.268834,47.627616,0
IND,8512,202308,1521788.0,52008.765,0.08078469814820934,0.09061878380325307,1.521788,52.008765,0
IND,8512,202309,1763131.0,69639.988,0.08078469814820934,0.09061878380325307,1.763131,69.639988,0
IND,8512,202310,1940367.0,56037.043,0.08078469814820934,0.09061878380325307,1.940367,56.037043,0
IND,8512,202311,1799163.0,59257.685,0.08078469814820934,0.09061878380325307,1.799163,59.257684999999995,0
IND,8512,202312,1675104.0,50754.071,0.08078469814820934,0.09061878380325307,1.675104,50.754071,0
IND,8512,202401,1502282.0,54433.711,0.08078469814820934,0.09061878380325307,1.502282,54.433711,0
IND,8512,202402,1477444.0,48606.486,0.08078469814820934,0.09061878380325307,1.477444,48.606486,0
IND,8512,202403,1832996.0,58333.756,0.08078469814820934,0.09061878380325307,1.832996,58.333756,0
IND,8512,202404,2273916.0,80448.994,0.08078469814820934,0.09061878380325307,2.273916,80.448994,0
IND,8512,202405,1936136.0,67478.671,0.08078469814820934,0.09061878380325307,1.936136,67.478671,0
IND,8512,202406,1817319.0,64099.377,0.08078469814820934,0.09061878380325307,1.817319,64.099377,0
IND,8512,202407,1840163.0,60632.731,0.08078469814820934,0.09061878380325307,1.840163,60.632731,0
IND,8512,202408,2000672.0,81473.138,0.08078469814820934,0.09061878380325307,2.000672,81.473138,0
IND,8512,202409,1903861.0,65335.156,0.08078469814820934,0.09061878380325307,1.903861,65.335156,0
IND,8512,202410,1999794.0,87000.834,0.08078469814820934,0.09061878380325307,1.999794,87.000834,0
IND,8512,202411,1473288.0,58301.671,0.08078469814820934,0.09061878380325307,1.473288,58.301671,0
IND,8512,202412,1861236.0,68246.319,0.08078469814820934,0.09061878380325307,1.861236,68.246319,0
IND,8512,202501,1305704.0,43745.943,0.08078469814820934,0.09061878380325307,1.305704,43.745943,0
IND,8512,202502,1322440.0,70078.071,0.08078469814820934,0.09061878380325307,1.32244,70.078071,0
IND,8512,202503,1531729.0,56490.794,0.08078469814820934,0.09061878380325307,1.531729,56.490794,0
IND,8512,202504,1425256.0,49154.113,0.08078469814820934,0.09061878380325307,1.425256,49.154112999999995,1
IND,8512,202505,2221818.0,87799.099,0.08078469814820934,0.09061878380325307,2.221818,87.799099,1
IND,8512,202506,1708524.0,63695.403,0.08078469814820934,0.09061878380325307,1.708524,63.695403,1
IND,8512,202507,1846422.0,78787.25,0.08078469814820934,0.09061878380325307,1.846422,78.78725,1
IND,8512,202508,1559697.0,61466.949,0.08078469814820934,0.09061878380325307,1.559697,61.466949,1
IND,8512,202509,1773132.0,84309.09,0.08078469814820934,0.09061878380325307,1.773132,84.30909,1
IND,8512,202510,1373912.0,49982.922,0.08078469814820934,0.09061878380325307,1.373912,49.982922,1
IND,8512,202511,1477895.0,56774.992,0.08078469814820934,0.09061878380325307,1.477895,56.774992,1
IND,8512,202512,1604703.0,65343.646,0.08078469814820934,0.09061878380325307,1.604703,65.343646,1
IND,8513,202301,194481.0,5524.824,0.9108674865207257,0.9564561656864926,0.194481,5.524824,0
IND,8513,202302,348794.0,9410.343,0.9108674865207257,0.9564561656864926,0.348794,9.410343000000001,0
IND,8513,202303,358116.0,9598.899,0.9108674865207257,0.9564561656864926,0.358116,9.598899,0
IND,8513,202304,416271.0,11220.566,0.9108674865207257,0.9564561656864926,0.416271,11.220566000000002,0
IND,8513,202305,37989.0,1079.193,0.9108674865207257,0.9564561656864926,0.037989,1.079193,0
IND,8513,202306,310998.0,8101.376,0.9108674865207257,0.9564561656864926,0.310998,8.101376,0
IND,8513,202307,51380.0,1345.198,0.9108674865207257,0.9564561656864926,0.05138,1.3451980000000001,0
IND,8513,202308,217759.0,5782.292,0.9108674865207257,0.9564561656864926,0.217759,5.782292,0
