partner_iso,period,val_phones_m,val_phones_usd,mass_phones_kg,val_parts_m,val_parts_usd,mass_parts_kg,partner_id,period_id,post,treated,treat_post,log_parts_to_phones,parts_share
IND,202410,435.7966,435796636.0,498425.126,9.8291,9829148.0,0.0,3,22,0,0,0,-3.7918282472284566,0.022056851748002867
IND,202411,525.7426,525742640.0,601297.302,9.6145,9614459.0,0.0,3,23,0,0,0,-4.001539363744484,0.017959040797254765
IND,202412,966.8401,966840103.0,1105785.038,8.6752,8675155.0,0.0,3,24,0,0,0,-4.71356474468462,0.008892940992314524
IND,202501,1338.1708,1338170834.0,1530479.841,7.4285,7428480.0,0.0,3,25,0,0,0,-5.193734931659677,0.005520588484253818
IND,202502,1740.3127,1740312669.0,1990413.622,7.5756,7575629.0,0.0,3,26,0,0,0,-5.436887532526427,0.004334144235647095
IND,202503,2357.5216,2357521603.0,2696321.872,6.381,6380972.0,0.0,3,27,0,0,0,-5.912041351827574,0.002699349795545722
IND,202504,1777.2355,1777235460.0,2032642.6,27.3296,27329583.0,0.0,3,28,1,0,0,-4.174843982202545,0.015144701623676529
IND,202505,2133.5501,2133550081.0,2440163.322,16.6042,16604246.0,0.0,3,29,1,0,0,-4.855886909484231,0.00772232950909616
IND,202506,2283.9137,2283913732.0,2612135.787,8.7996,8799577.0,0.0,3,30,1,0,0,-5.5589395195679865,0.003838072557960038
IND,202507,1615.5555,1615555472.0,1847727.524,9.8244,9824352.0,0.0,3,31,1,0,0,-5.102565052175129,0.006044371534310226
IND,202508,938.3583,938358304.0,929728.559,11.8003,11800341.0,0.0,3,32,1,0,0,-4.376006904134489,0.012419295052425984
IND,202509,771.461,771461018.0,764366.168,9.904,9903992.0,0.0,3,33,1,0,0,-4.3553474037083175,0.01267525420258138
IND,202510,1772.8755,1772875518.0,1756571.018,8.7725,8772463.0,0.0,3,34,1,0,0,-5.308736255167278,0.004923812111034279
IND,202511,2479.427,2479426980.0,2456624.579,11.6584,11658428.0,0.0,3,35,1,0,0,-5.359755813838791,0.004680048303442347
IND,202512,2938.5319,2938531922.0,2911507.298,10.3028,10302821.0,0.0,3,36,1,0,0,-5.65324967891991,0.0034938547080987617
JPN,202301,7.628,7627950.0,8494.815,3.2221,3222054.0,0.0,4,1,0,0,0,-0.8617923668418006,0.2969650049308301
JPN,202302,0.7961,796103.0,886.575,3.8446,3844598.0,0.0,4,2,0,0,0,1.5747000392242274,0.8284526041329972
JPN,202303,6.2031,6203090.0,6908.029,6.9232,6923243.0,0.0,4,3,0,0,0,0.10982892339578637,0.5274296641094596
JPN,202304,1.019,1019005.0,1134.808,2.5749,2574908.0,0.0,4,4,0,0,0,0.9269889441695591,0.7164640084587774
JPN,202305,8.8713,8871314.0,9879.479,3.3351,3335110.0,0.0,4,5,0,0,0,-0.9783186830999336,0.2732255210381439
JPN,202306,9.5248,9524782.0,10607.209,4.9752,4975192.0,0.0,4,6,0,0,0,-0.6494333526094461,0.3431172413793103
JPN,202307,2.6019,2601912.0,2579.55,3.9586,3958593.0,0.0,4,7,0,0,0,0.419648480028115,0.6033991311637833
JPN,202308,3.0569,3056873.0,3030.601,3.9109,3910892.0,0.0,4,8,0,0,0,0.24636619597358775,0.5612818967249347
JPN,202309,4.5065,4506511.0,4467.78,2.9406,2940583.0,0.0,4,9,0,0,0,-0.4269071568529077,0.3948651152797733
JPN,202310,8.0896,8089644.0,8020.119,3.5934,3593392.0,0.0,4,10,0,0,0,-0.8114804565739573,0.3075751091329282
JPN,202311,6.1056,6105593.0,6053.119,3.0356,3035579.0,0.0,4,11,0,0,0,-0.6987972842841549,0.33207893930774957
JPN,202312,6.5284,6528380.0,6482.02,4.8818,4881763.0,0.0,4,12,0,0,0,-0.29064788597967667,0.4278452612574714
JPN,202401,6.5333,6533346.0,6486.951,3.9246,3924592.0,0.0,4,13,0,0,0,-0.5096477403014451,0.37527610705782233
JPN,202402,1.7773,1777328.0,1764.707,4.8867,4886694.0,0.0,4,14,0,0,0,1.011421870265723,0.733298319327731
JPN,202403,4.9235,4923466.0,4888.503,3.354,3353973.0,0.0,4,15,0,0,0,-0.38386599630470253,0.4051948051948052
JPN,202404,6.5343,6534350.0,6487.948,4.1709,4170893.0,0.0,4,16,0,0,0,-0.44893338594568466,0.38961439300526846
JPN,202405,5.1231,5123083.0,5086.703,3.845,3844987.0,0.0,4,17,0,0,0,-0.2869861216215587,0.42874187397553554
JPN,202406,3.4321,3432060.0,3407.688,3.9292,3929233.0,0.0,4,18,0,0,0,0.1352635240882135,0.5337644166111963
JPN,202407,6.5535,6553471.0,7495.273,4.5923,4592326.0,0.0,4,19,0,0,0,-0.3556182701837224,0.41202067146369037
JPN,202408,7.2223,7222289.0,8260.207,3.8173,3817259.0,0.0,4,20,0,0,0,-0.6376300953017618,0.3457824558860828
JPN,202409,7.4665,7466474.0,8539.484,5.2909,5290905.0,0.0,4,21,0,0,0,-0.3444379847906992,0.4147318419113612
JPN,202410,5.4537,5453739.0,6237.498,5.5901,5590082.0,0.0,4,22,0,0,0,0.024702898684667757,0.5061754106376427
JPN,202411,4.2941,4294077.0,4911.18,4.2042,4204191.0,0.0,4,23,0,0,0,-0.02115796187228338,0.4947107068472518
JPN,202412,10.6318,10631842.0,12159.748,6.1834,6183425.0,0.0,4,24,0,0,0,-0.5419812280994484,0.3677268185927018
JPN,202501,1.8674,1867391.0,2135.754,3.699,3698987.0,0.0,4,25,0,0,0,0.6835154237826285,0.6645228513940787
JPN,202502,2.4991,2499139.0,2858.291,2.8763,2876253.0,0.0,4,26,0,0,0,0.14057407890394147,0.5350857610596421
JPN,202503,5.3066,5306571.0,6069.18,2.5936,2593642.0,0.0,4,27,0,0,0,-0.7159044568558696,0.32829548619022303
JPN,202504,1.2569,1256939.0,1437.574,3.3927,3392724.0,0.0,4,28,1,0,0,0.9929776926145992,0.7296756710254646
JPN,202505,1.9119,1911916.0,2186.678,2.2192,2219162.0,0.0,4,29,1,0,0,0.1490492585722089,0.537193483575803
JPN,202506,0.5573,557307.0,637.398,2.2892,2289197.0,0.0,4,30,1,0,0,1.4128539959594566,0.8042157034955207
JPN,202507,8.7427,8742726.0,9999.146,3.035,3034976.0,0.0,4,31,1,0,0,-1.0580076419337645,0.257690380974214
JPN,202508,2.7807,2780700.0,2755.127,2.6983,2698315.0,0.0,4,32,1,0,0,-0.030080749487082486,0.4924803796313196
JPN,202509,4.0857,4085740.0,4048.165,2.371,2370967.0,0.0,4,33,1,0,0,-0.5441812651776159,0.36721545061718835
JPN,202510,2.9636,2963625.0,2936.37,3.228,3228037.0,0.0,4,34,1,0,0,0.08545800484733765,0.5213515084953808
JPN,202511,4.5797,4579654.0,4537.537,15.0534,15053424.0,0.0,4,35,1,0,0,1.1899703855041819,0.7667357676576801
